pillar,themes,macro_goal,mg_code,fy_numeric,fy_label,value,status
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2014,2013-14,476,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2015,2014-15,492,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2016,2015-16,506,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2017,2016-17,517,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2018,2017-18,564,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2019,2018-19,595,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2020,2019-20,617,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2021,2020-21,633,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2022,2021-22,668,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2023,2022-23,670,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita Milk availability (gm/person/day),AIRM22,2024,2023-24,700,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2014,2013-14,24,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2015,2014-15,25,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2016,2015-16,26,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2017,2016-17,27,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2018,2017-18,27,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2019,2018-19,28,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2020,2019-20,28,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2021,2020-21,28,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2022,2021-22,28,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2023,2022-23,27,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Per capita egg availability (Number/person/Annum),AIRM23,2024,2023-24,26,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2014,2013-14,98.36,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2015,2014-15,98.09,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2016,2015-16,98.21,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2017,2016-17,98.03,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2018,2017-18,96.37,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2019,2018-19,94.43,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2020,2019-20,93.79,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2021,2020-21,92.19,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2022,2021-22,92.36,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2023,2022-23,95.87,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2024,2023-24,84.79,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (elementary),NSM7,2025,2024-25,84.55,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2014,2013-14,71.61,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2015,2014-15,72.71,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2016,2015-16,72.31,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2017,2016-17,72.69,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2018,2017-18,75.27,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2019,2018-19,76.1,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2020,2019-20,77.43,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2021,2020-21,78.56,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2022,2021-22,75.16,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2023,2022-23,74.1,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2024,2023-24,74.4,Actual
Empowered Citizen - Living Well,Nari Shakti: Women-led Development,% Gross enrolment ratio (secondary),NSM8,2025,2024-25,74.75,Actual
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2014,2013-14,78.03,Actual
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2015,2014-15,78.03,Actual
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2016,2015-16,78.03,Actual
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2017,2016-17,78.03,Actual
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2018,2017-18,78.03,Actual
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2019,2018-19,78.03,Actual
Empowered Citizen - Living Well,Human Capital: Education and Skilling,Literacy rate In %,ESM3,2020,2019-20,78.03,Actual
